iter	Passed	Remaining
0	1773	1772184
1	3664	1828605
2	5620	1867871
3	6224	1549790
4	8025	1596988
5	9672	1602442
6	11234	1593681
7	12729	1578490
8	14233	1567267
9	15747	1559004
10	17230	1549203
11	18714	1540853
12	20207	1534198
13	20421	1438276
14	21928	1439993
15	23520	1446514
16	25095	1451105
17	26579	1450066
18	28055	1448536
19	29499	1445462
20	30980	1444287
21	32396	1440183
22	33830	1437066
23	35266	1434174
24	36672	1430214
25	38096	1427154
26	39497	1423385
27	39614	1375172
28	41043	1374258
29	42426	1371791
30	43870	1371315
31	45312	1370712
32	46771	1370542
33	48290	1372012
34	49779	1372491
35	51205	1371173
36	52602	1369078
37	54035	1367949
38	55454	1366467
39	56957	1366980
40	58400	1366005
41	58618	1337069
42	60104	1337676
43	61566	1337680
44	63184	1340906
45	64752	1342908
46	66200	1342328
47	67607	1340877
48	67652	1313007
49	69090	1312715
50	70689	1315370
51	72141	1315197
52	73605	1315178
53	75110	1315818
54	76664	1317240
55	78164	1317636
56	79713	1318761
57	81225	1319208
58	82728	1319441
59	84315	1320938
60	85746	1319928
61	87303	1320824
62	88775	1320361
63	90222	1319507
64	91733	1319550
65	93440	1322323
66	94922	1321826
67	96340	1320425
68	97777	1319287
69	99222	1318236
70	100636	1316777
71	102071	1315591
72	103504	1314370
73	104923	1312964
74	106315	1311229
75	107732	1309794
76	109178	1308725
77	110596	1307307
78	112028	1306048
79	113434	1304494
80	114854	1303102
81	116299	1301985
82	117715	1300546
83	119156	1299376
84	120581	1298024
85	122017	1296786
86	123435	1295360
87	124909	1294512
88	126308	1292886
89	127727	1291466
90	129171	1290300
91	130578	1288751
92	130954	1277159
93	132343	1275561
94	133800	1274629
95	135243	1273540
96	136662	1272230
97	138112	1271196
98	139516	1269737
99	140957	1268616
100	142354	1267093
101	143823	1266208
102	145266	1265089
103	146681	1263720
104	148131	1262644
105	149534	1261167
106	150960	1259885
107	152354	1258337
108	153779	1257045
109	155228	1255943
110	156640	1254531
111	158076	1253323
112	159475	1251813
113	160924	1250694
114	162321	1249168
115	163780	1248120
116	165234	1247023
117	166654	1245669
118	168096	1244480
119	169486	1242901
120	170917	1241621
121	172321	1240147
122	173761	1238931
123	175220	1237846
124	176633	1236434
125	178072	1235199
126	179475	1233718
127	180924	1232546
128	182323	1231039
129	183740	1229649
130	185199	1228534
131	186595	1227009
132	188025	1225702
133	189423	1224187
134	190855	1222891
135	192301	1221680
136	193715	1220265
137	195177	1219155
138	196584	1217691
139	198029	1216468
140	199424	1214932
141	200871	1213717
142	202328	1212556
143	203750	1211181
144	203961	1202667
145	205371	1201284
146	206820	1200119
147	208278	1199008
148	209729	1197852
149	210108	1190612
150	210481	1183435
151	211893	1182143
152	213354	1181117
153	214800	1180008
154	216243	1178874
155	217670	1177650
156	219118	1176540
157	220567	1175427
158	221993	1174191
159	223443	1173078
160	224867	1171827
161	226317	1170704
162	227781	1169651
163	229220	1168465
164	230669	1167326
165	232122	1166204
166	233577	1165089
167	235019	1163908
168	236414	1162489
169	237847	1161254
170	239295	1160091
171	240701	1158724
172	242146	1157545
173	243609	1156446
174	245039	1155184
175	246436	1153770
176	247868	1152519
177	249320	1151358
178	250727	1149985
179	252174	1148792
180	253576	1147397
181	255020	1146189
182	256462	1144970
183	257922	1143829
184	259378	1142666
185	260791	1141313
186	262299	1140371
187	263719	1139041
188	265221	1138065
189	266840	1137581
190	268333	1136554
191	269836	1135563
192	271297	1134389
193	272814	1133446
194	274282	1132294
195	275712	1130985
196	277217	1129979
197	278861	1129530
198	280429	1128765
199	281853	1127415
200	283349	1126347
201	284772	1124991
202	286225	1123750
203	287694	1122570
204	289230	1121648
205	290910	1121277
206	292587	1120876
207	294286	1120553
208	295982	1120201
209	297669	1119804
210	299361	1119413
211	301053	1119009
212	302751	1118618
213	304461	1118256
214	306147	1117793
215	307841	1117350
216	309557	1116976
217	311351	1116864
218	313140	1116725
219	315011	1116858
220	316823	1116767
221	317295	1111965
222	319007	1111517
223	320705	1111016
224	322408	1110518
225	324110	1110005
226	325834	1109560
227	326277	1104764
228	328014	1104361
229	329734	1103894
230	331473	1103477
231	333176	1102928
232	334906	1102460
233	336613	1101904
234	338310	1101308
235	340011	1100714
236	341726	1100158
237	343431	1099556
238	345129	1098925
239	346858	1098386
240	348602	1097879
241	350313	1097264
242	352027	1096646
243	353728	1095977
244	355423	1095285
245	357161	1094713
246	358876	1094066
247	360575	1093357
248	362296	1092708
249	364020	1092061
250	365721	1091335
251	367431	1090631
252	369132	1089888
253	370827	1089122
254	372527	1088365
255	374298	1087805
256	376015	1087078
257	377734	1086352
258	379445	1085595
259	381160	1084842
260	382921	1084210
261	384632	1083429
262	386341	1082636
263	388095	1081963
264	389830	1081227
265	391540	1080416
266	393244	1079580
267	394948	1078738
268	396661	1077916
269	398366	1077065
270	400070	1076205
271	401796	1075396
272	403521	1074579
273	405226	1073702
274	406960	1072896
275	408691	1072073
276	410388	1071158
277	412096	1070265
278	413796	1069345
279	415494	1068413
280	417223	1067556
281	418947	1066681
282	420654	1065756
283	422362	1064828
284	424095	1063959
285	425806	1063026
286	427512	1062077
287	429248	1061196
288	430979	1060298
289	432691	1059347
290	434399	1058382
291	436106	1057409
292	437813	1056429
293	439492	1055379
294	441204	1054405
295	442911	1053410
296	444638	1052461
297	446354	1051479
298	448056	1050459
299	449759	1049439
300	451478	1048450
301	453209	1047484
302	454899	1046419
303	456593	1045358
304	458333	1044399
305	460039	1043358
306	461740	1042299
307	463474	1041313
308	465176	1040249
309	466891	1039211
310	468617	1038190
311	470326	1037129
312	472074	1036150
313	473774	1035061
314	475473	1033965
315	477172	1032866
316	478870	1031762
317	480571	1030660
318	482260	1029528
319	483963	1028422
320	485746	1027483
321	487428	1026323
322	489176	1025301
323	490908	1024240
324	492604	1023101
325	494313	1021985
326	496000	1020820
327	497680	1019637
328	499377	1018488
329	501076	1017337
330	502803	1016240
331	504496	1015070
332	506199	1013919
333	507901	1012761
334	509635	1011664
335	511342	1010509
336	513063	1009379
337	514757	1008194
338	516505	1007109
339	518242	1006000
340	519935	1004801
341	521611	1003567
342	522041	999945
343	523754	998788
344	525511	997709
345	527194	996488
346	528899	995305
347	530611	994134
348	532315	992944
349	534025	991761
350	535717	990542
351	537439	989376
352	539133	988156
353	540840	986957
354	542589	985831
355	544298	984630
356	546018	983445
357	546449	979946
358	548177	978779
359	549907	977612
360	551667	976497
361	553358	975256
362	555058	974028
363	556751	972785
364	558441	971535
365	560139	970296
366	561828	969040
367	563546	967829
368	565245	966584
369	566943	965336
370	568638	964080
371	570347	962844
372	572041	961581
373	573727	960303
374	575426	959043
375	575656	955344
376	577366	954109
377	579043	952818
378	580721	951525
379	582413	950253
380	582548	946449
381	584263	945222
382	585948	943943
383	587672	942723
384	589402	941512
385	591125	940287
386	592812	939002
387	594498	937713
388	596182	936419
389	597895	935170
390	599617	933931
391	601331	932677
392	603040	931413
393	604744	930139
394	606448	928864
395	608147	927577
396	609853	926301
397	611552	925011
398	613261	923734
399	614971	922457
400	616665	921153
401	618377	919874
402	620092	918598
403	621851	917385
404	623550	916080
405	625259	914788
406	627000	913541
407	628717	912256
408	630443	910983
409	632160	909694
410	633872	908395
411	635582	907093
412	637291	905787
413	639021	904508
414	640768	903252
415	642478	901940
416	642714	898567
417	644451	897298
418	646188	896027
419	647889	894704
420	647941	891111
421	649647	889801
422	651372	888515
423	653064	887182
424	654771	885866
425	656482	884555
426	658174	883217
427	659864	881875
428	661596	880586
429	663297	879254
430	664999	877923
431	666677	876557
432	668389	875235
433	670085	873890
434	671871	872660
435	673596	871349
436	675303	870014
437	676984	868642
438	678670	867276
439	680419	865988
440	682137	864659
441	683822	863287
442	685526	861937
443	687218	860571
444	688931	859229
445	690679	857929
446	692381	856569
447	694098	855228
448	695841	853917
449	697529	852535
450	699219	851156
451	700914	849781
452	701368	846905
453	703093	845570
454	704801	844212
455	705228	841325
456	706967	840007
